@relation small-slice-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute X numeric
@attribute Y numeric
@attribute CLASS {0,1}

@data
0.058,0.558,0
0.353,0.248,0
0.977,0.596,0
0.038,0.894,0
0.103,0.597,0
0.55,0.312,0
0.582,0.479,0
0.394,0.106,0
0.527,0.164,0
0.72,0.52,0
0.319,0.32,0
0.101,0.849,0
0.328,0.536,0
0.896,0.409,0
0.759,0.094,0
0.477,0.092,0
0.826,0.524,0
0.747,0.592,0
0.452,0.478,0
0.766,0.249,0
0.888,0.872,0
0.067,0.696,0
0.654,0.4,0
0.427,0.426,0
0.517,0.526,0
0.314,0.036,0
0.673,0.615,0
0.457,0.427,0
0.033,0.527,0
0.76,0.898,0
0.59,0.81,0
0.066,0.317,0
0.016,0.911,0
0.576,0.123,0
0.79,0.55,0
0.925,0.5,0
0.119,0.578,0
0.251,0.792,0
0.91,0.034,0
0.413,0.598,0
0.202,0.776,0
0.861,0.165,0
0.95,0.801,0
0.495,0.082,0
0.883,0.509,0
0.354,0.479,0
0.089,0.422,0
0.049,0.535,0
0.637,0.319,0
0.397,0.901,0
0.664,0.75,0
0.25,0.636,0
0.193,0.169,0
0.085,0.474,0
0.93,0.914,0
0.632,0.262,0
0.358,0.704,0
0.974,0.253,0
0.285,0.299,0
0.556,0.322,0
0.904,0.341,0
0.63,0.217,0
0.455,0.491,0
0.289,0.695,0
0.53,0.934,0
0.057,0.826,0
0.894,0.988,0
0.231,0.581,0
0.748,0.096,0
0.277,0.41,0
0.639,0.705,0
0.017,0.817,0
0.221,0.369,0
0.294,0.409,0
0.157,0.56,0
0.133,0.988,0
0.292,0.711,0
0.434,0.384,0
0.139,0.781,0
0.863,0.893,0
0.931,0.718,0
0.091,0.051,0
0.876,0.646,0
0.71,0.42,0
0.971,0.828,0
0.817,0.576,0
0.55,0.134,0
0.186,0.731,0
0.237,0.835,0
0.89,0.755,0
0.79,0.044,0
0.04,0.994,0
0.15,0.616,0
0.331,0.953,0
0.407,0.905,0
0.261,0.591,0
0.802,0.087,0
0.653,0.779,0
0.312,0.587,0
0.881,0.088,0
0.052,0.3,0
0.281,0.785,0
0.777,0.843,0
0.682,0.157,0
0.56,0.235,0
0.156,0.447,0
0.808,0.113,0
0.49,0.874,0
0.919,0.233,0
0.681,0.488,0
0.586,0.56,0
0.787,0.941,0
0.52,0.043,0
0.61,0.777,0
0.238,0.781,0
0.413,0.117,0
0.535,0.9,0
0.471,0.492,0
0.82,0.737,0
0.404,0.834,0
0.886,0.565,0
0.69,0.702,0
0.028,0.477,0
0.769,0.564,0
0.907,0.504,0
0.771,0.504,0
0.57,0.238,0
0.348,0.829,0
0.122,0.379,0
0.911,0.322,0
0.006,0.709,0
0.43,0.525,0
0.313,0.818,0
0.755,0.654,0
0.54,0.582,0
0.308,0.083,0
0.983,0.918,0
0.304,0.042,0
0.634,0.046,0
0.556,0.13,0
0.23,0.48,0
0.275,0.973,0
0.547,0.203,0
0.671,0.131,0
0.548,0.434,0
0.648,0.834,0
0.482,0.82,0
0.25,0.571,0
0.021,0.018,0
0.257,0.758,0
0.483,0.453,0
0.684,0.246,0
0.063,0.123,0
0.979,0.601,0
0.454,0.882,0
0.409,0.504,0
0.931,0.044,0
0.315,0.949,0
0.516,0.984,0
0.045,0.834,0
0.931,0.653,0
0.353,0.109,0
0.198,0.788,0
0.92,0.886,0
0.931,0.57,0
0.279,0.07,0
0.726,0.562,0
0.385,0.071,0
0.75,0.865,0
0.661,0.125,0
0.755,0.065,0
0.292,0.805,0
0.851,0.464,0
0.893,0.049,0
0.188,0.505,0
0.868,0.462,0
0.028,0.676,0
0.708,0.499,0
0.321,0.214,0
0.072,0.904,0
0.408,0.918,0
0.387,0.522,0
0.807,0.716,0
0.687,0.073,0
0.112,0.911,0
0.591,0.017,0
0.252,0.572,0
0.227,0.272,0
0.533,0.228,0
0.602,0.707,0
0.725,0.671,0
0.414,0.432,0
0.222,0.508,0
0.567,0.455,0
0.535,0.363,0
0.408,0.558,0
0.871,0.536,0
0.856,0.792,0
0.365,0.336,0
0.247,0.858,0
0.091,0.812,0
0.421,0.283,0
0.351,0.729,0
0.388,0.077,0
0.617,0.944,0
0.586,0.11,0
0.869,0.654,0
0.266,0.653,0
0.413,0.959,0
0.746,0.942,0
0.114,0.427,0
0.52,0.318,0
0.828,0.929,0
0.737,0.823,0
0.771,0.997,0
0.694,0.624,0
0.644,0.458,0
0.67,0.848,0
0.158,0.902,0
0.754,0.862,0
0.49,0.911,0
0.571,0.465,0
0.174,0.74,0
0.303,0.044,0
0.975,0.351,0
0.073,0.27,0
0.062,0.054,0
0.128,0.882,0
0.733,0.204,0
0.114,0.104,0
0.524,0.358,0
0.149,0.799,0
0.509,0.026,0
0.658,0.959,0
0.461,0.075,0
0.99,0.636,0
0.594,0.574,0
0.211,0.373,0
0.384,0.064,0
0.622,0.1,0
0.375,0.137,0
0.941,0.069,0
0.496,0.563,0
0.691,0.685,0
0.84,0.514,0
0.801,0.391,0
0.056,0.833,0
0.918,0.879,0
0.502,0.075,0
0.837,0.697,0
0.533,0.836,0
0.617,0.252,0
0.981,0.393,0
0.712,0.717,0
0.5,0.012,0
0.499,0.113,0
0.402,0.116,0
0.736,0.487,0
0.239,0.017,0
0.698,0.356,0
0.454,0.34,0
0.48,0.805,0
0.523,0.138,0
0.071,0.578,0
0.639,0.972,0
0.817,0.654,0
0.766,0.657,0
0.547,0.406,0
0.385,0.801,0
0.402,0.706,0
0.425,0.755,0
0.043,0.424,0
0.772,0.251,0
0.85,0.48,0
0.667,0.209,0
0.912,0.725,0
0.155,0.068,0
0.154,0.637,0
0.484,0.272,0
0.889,0.189,0
0.248,0.519,0
0.354,0.531,0
0.594,0.252,0
0.809,0.978,0
0.203,0.699,0
0.656,0.082,0
0.888,0.805,0
0.385,0.729,0
0.384,0.964,0
0.761,0.885,0
0.61,0.565,0
0.042,0.461,0
0.196,0.905,0
0.688,0.756,0
0.842,0.019,0
0.637,0.361,0
0.277,0.819,0
0.143,0.202,0
0.868,0.841,0
0.717,0.316,0
0.88,0.452,0
0.105,0.147,0
0.751,0.079,0
0.018,0.673,0
0.786,0.08,0
0.209,0.285,0
0.519,0.205,0
0.33,0.005,0
0.506,0.763,0
0.124,0.037,0
0.855,0.041,0
0.132,0.139,0
0.434,0.563,0
0.344,0.346,0
0.428,0.599,0
0.91,0.284,0
0.965,0.548,0
0.213,0.394,0
0.051,0.444,0
0.554,0.55,0
0.607,0.413,0
0.191,0.911,0
0.78,0.237,0
0.249,0.379,0
0.877,0.431,0
0.096,0.137,0
0.981,0.749,0
0.438,0.219,0
0.646,0.63,0
0.147,0.353,0
0.035,0.201,0
0.943,0.889,0
0.442,0.094,0
0.382,0.702,0
0.225,0.464,0
0.149,0.365,0
0.056,0.449,0
0.089,0.688,0
0.253,0.307,0
0.126,0.961,0
0.146,0.922,0
0.98,0.208,0
0.183,0.472,0
0.625,0.38,0
0.506,0.465,0
0.584,0.246,0
0.844,0.752,0
0.913,0.553,0
0.669,0.077,0
0.884,0.906,0
0.515,0.776,0
0.875,0.818,0
0.419,0.163,0
0.814,0.611,0
0.094,0.283,0
0.815,0.432,0
0.548,0.796,0
0.294,0.851,0
0.179,0.247,0
0.636,0.986,0
0.252,0.201,0
0.521,0.121,0
0.589,0.708,0
0.83,0.115,0
0.025,0.961,0
0.613,0.668,0
0.861,0.948,0
0.35,0.85,0
0.318,0.493,0
0.749,0.327,0
0.529,0.07,0
0.182,0.001,0
0.694,0.8,0
0.245,0.409,0
0.377,0.217,0
0.722,0.501,0
0.963,0.813,0
0.459,0.644,0
0.472,0.202,0
0.24,0.715,0
0.041,0.81,0
0.377,0.064,0
0.275,0.389,0
0.839,0.246,0
0.567,0.59,0
0.216,0.991,0
0.186,0.095,0
0.938,0.41,0
0.793,0.959,0
0.125,0.765,0
0.73,0.038,0
0.489,0.721,0
0.064,0.942,0
0.628,0.717,0
0.274,0.164,0
0.665,0.883,0
0.632,0.493,0
0.685,0.007,0
0.616,0.02,0
0.17,0.951,0
0.558,0.166,0
0.087,0.692,0
0.396,0.255,0
0.737,0.015,0
0.818,0.353,0
0.556,0.856,0
0.29,0.447,0
0.195,0.144,0
0.626,0.67,0
0.819,0.953,0
0.927,0.618,0
0.5,0.333,0
0.134,0.991,0
0.906,0.727,0
0.818,0.061,0
0.297,0.217,0
0.798,0.865,0
0.992,0.764,0
0.388,0.476,0
0.817,0.454,0
0.146,0.259,0
0.67,0.241,0
0.68,0.969,0
0.948,0.018,0
0.174,0.134,0
0.551,0.847,0
0.447,0.639,0
0.609,0.027,0
0.934,0.046,0
0.796,0.361,0
0.114,0.76,0
0.246,0.946,0
0.331,0.868,0
0.829,0.382,0
0.224,0.277,0
0.544,0.336,0
0.606,0.787,0
0.1,0.964,0
0.002,0.062,0
0.138,0.735,0
0.943,0.502,0
0.672,0.468,0
0.556,0.358,0
0.756,0.451,0
0.8,0.429,0
0.287,0.237,0
0.288,0.951,0
0.147,0.697,0
0.435,0.429,0
0.269,0.623,0
0.222,0.511,0
0.294,0.279,0
0.156,0.695,0
0.472,0.848,0
0.439,0.394,0
0.119,0.483,0
0.411,0.506,0
0.078,0,0
0.77,0.011,0
0.464,0.866,0
0.238,0.771,0
0.82,0.095,0
0.15,0.081,0
0.665,0.2,0
0.671,0.846,0
0.394,0.055,0
0.8,0.388,0
0.733,0.298,0
0.749,0.391,0
0.003,0.329,0
0.822,0.593,0
0.972,0.997,0
0.326,0.809,0
0.306,0.46,0
0.212,0.566,0
0.476,0.956,0
0.551,0.825,0
0.526,0.949,0
0.714,0.038,0
0.11,0.305,0
0.059,0.989,0
0.205,0.289,0
0.315,0.747,0
0.42,0.3,0
0.853,0.563,0
0.147,0.736,0
0.936,0.856,0
0.859,0.525,0
0.881,0.491,0
0.116,0.745,0
0.48,0.112,0
0.756,0.364,0
0.248,0.4,0
0.877,0.75,0
0.124,0.717,0
0.644,0.113,0
0.46,0.506,0
0.374,0.03,0
0.606,0.398,0
0.06,0.38,0
0.888,0.753,0
0.496,0.923,0
0.231,0.803,0
0.18,0.661,0
0.549,0.872,0
0.409,0.981,0
0.521,0.403,0
0.445,0.713,0
0.511,0.926,0
0.535,0.985,0
0.377,0.27,0
0.874,0.95,0
0.66,0.093,0
0.469,0.386,0
0.525,0.571,0
0.008,0.343,0
0.832,0.486,0
0.556,0.971,0
0.492,0.743,0
0.997,0.696,0
0.599,0.851,0
0.547,0.312,0
0.829,0.39,0
0.733,0.486,0
0.775,0.013,0
0.468,0.905,0
0.552,0.913,0
0.183,0.315,0
0.091,0.347,0
0.415,0.484,0
0.461,0.592,0
0.148,0.527,0
0.905,0.146,0
0.777,0.592,0
0.129,0.104,0
0.11,0.096,0
0.224,0.956,0
0.171,0.986,0
0.388,0.146,0
0.336,0.605,0
0.461,0.613,0
0.894,0.031,0
0.743,0.168,0
0.231,0.633,0
0.839,0.53,0
0.388,0.334,0
0.865,0.188,0
0.907,0.585,0
0.081,0.723,0
0.863,0.781,0
0.992,0.104,0
0.713,0.046,0
0.167,0.206,0
0.587,0.009,0
0.049,0.026,0
0.033,0.984,0
0.735,0.371,0
0.309,0.705,0
0.573,0.016,0
0.924,0.197,0
0.192,0.578,0
0.356,0.496,0
0.18,0.921,0
0.925,0.05,0
0.572,0.712,0
0.524,0.501,0
0.458,0.53,0
0.011,0.541,0
0.938,0.725,0
0.786,0.41,0
0.508,0.095,0
0.828,0.065,0
0.071,0.015,0
0.982,0.632,0
0.166,0.924,0
0.26,0.814,0
0.84,0.337,0
0.831,0.256,0
0.671,0.816,0
0.836,0.588,0
0.877,0.05,0
0.965,0.95,0
0.627,0.102,0
0.294,0.939,0
0.113,0.189,0
0.196,0.895,0
0.318,0.671,0
0.864,0.754,0
0.689,0.145,0
0.938,0.307,0
0.749,0.726,0
0.488,0.258,0
0.404,0.789,0
0.112,0.757,0
0.534,0.833,0
0.352,0.873,0
0.353,0.918,0
0.046,0.268,0
0.782,0.511,0
0.09,0.272,0
0.674,0.299,0
0.593,0.129,0
0.769,0.714,0
0.833,0.851,0
0.999,0.167,0
0.561,0.939,0
0.838,0.368,0
0.902,0.633,0
0.662,0.045,0
0.503,0.463,0
0.325,0.644,0
0.467,0.121,0
0.225,0.472,0
0.915,0.869,0
